emoji_char,emoji_char_ascii,emoji_char_bytes,emjpd_emoji_name,emjpd_emoji_name_og,hemj_emoji_name,hemj_emoji_name_og,emjpd_aliases,emjpd_shortcodes,emjpd_full_description,emjpd_description_main,emjpd_description_side,hemj_emoji_description,emjpd_usage_info,emjpd_description_ref_emj
⛹️,\u26f9\ufe0f,â¹ï¸,person_bouncing_ball,Person Bouncing Ball,person_bouncing_ball,Person Bouncing Ball,[],"[':person_with_ball:\n(Slack)\n', ':bouncing_ball_person:\n(Github)\n', ':person_bouncing_ball:\n(Emojipedia)\n']","A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball.

Person Bouncing Ball was approved as part of Unicode 5.2 in 2009
under the name “Person with Ball”
and added to Emoji 1.0 in 2015.

🚩 Previously displayed a gendered appearance, now shown as gender neutral.","A person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball.","Person Bouncing Ball was approved as part of Unicode 5.2 in 2009
under the name “Person with Ball”
and added to Emoji 1.0 in 2015.
🚩 Previously displayed a gendered appearance, now shown as gender neutral.","The image of a person with a ball, which is generally displayed as a basketballer running and dribbling (bouncing) the basketball, is the emoji symbol for the sport or the activity of basketball playing. Person Bouncing Ball Emoji can also refer to a basketball player or a match. It can mean ""Let's play some basketball this weekend.""",,['🚩']
🔇,\U0001f507,ð,muted_speaker,Muted Speaker,muted_speaker,Muted Speaker,['Mute Volume'],"[':mute:\n(Github, Slack)\n', ':muted_speaker:\n(Emojipedia)\n']","A speaker with a red line through it, indicating muted volume or silencing of audio.

Muted Speaker was approved as part of Unicode 6.0 in 2010
under the name “Speaker with Cancellation Stroke”
and added to Emoji 1.0 in 2015.
","A speaker with a red line through it, indicating muted volume or silencing of audio.","Muted Speaker was approved as part of Unicode 6.0 in 2010
under the name “Speaker with Cancellation Stroke”
and added to Emoji 1.0 in 2015.",The Muted Speaker Emoji was added to the Objects category in 2010 as part of Unicode 6.0 standard. This is a mature emoji and it should work on most devices.,,[]
📩,\U0001f4e9,ð©,envelope_with_arrow,Envelope with Arrow,envelope_with_arrow,Envelope with Arrow,"['Down Arrow Envelope', 'Insert In Envelope']","[':envelope_with_arrow:\n(Github, Slack, Emojipedia)\n']","The back of envelope with a down arrow on top. Generally depicted in white with a red or blue arrow.
Commonly used an icon before an email address. May also represent downloading, direct messages, or mail (post) more generally. Its original intent may have been to indicate sealing and delivering a letter in an envelope.
Microsoft’s design previously resembled an incoming envelope. Early designs from Apple featured a right arrow with the envelope oriented lengthwise. Google's envelope design was previously yellow. SoftBank originally animated a rightward-moving arrow and envelope, suggesting sending or sent. 

Envelope with Arrow was approved as part of Unicode 6.0 in 2010
under the name “Envelope with Downwards Arrow Above”
and added to Emoji 1.0 in 2015.
","The back of envelope with a down arrow on top. Generally depicted in white with a red or blue arrow.
Commonly used an icon before an email address. May also represent downloading, direct messages, or mail (post) more generally. Its original intent may have been to indicate sealing and delivering a letter in an envelope.
Microsoft’s design previously resembled an incoming envelope. Early designs from Apple featured a right arrow with the envelope oriented lengthwise. Google's envelope design was previously yellow. SoftBank originally animated a rightward-moving arrow and envelope, suggesting sending or sent. ","Envelope with Arrow was approved as part of Unicode 6.0 in 2010
under the name “Envelope with Downwards Arrow Above”
and added to Emoji 1.0 in 2015.",The Envelope with Arrow Emoji was added to the Objects category in 2010 as part of Unicode 6.0 standard. This is a mature emoji and it should work on most devices.,"Commonly used an icon before an email address. May also represent downloading, direct messages, or mail (post) more generally. Its original intent may have been to indicate sealing and delivering a letter in an envelope.",[]
🇲🇶,\U0001f1f2\U0001f1f6,ð²ð¶,flag:_martinique,Flag: Martinique,flag:_martinique,Flag: Martinique,"['Martiniquais\xa0Flag', 'Snake Flag of\xa0Martinique']","[':flag-mq:\n(Slack)\n', ':martinique:\n(Github)\n', ':flag_martinique:\n(Emojipedia)\n']","The flag for Martinique, which may show as the letters MQ on some platforms.
Most platforms display the historical snake flag of Martinique instead of the Flag For France, which is the official flag of Martinique. As of 2021, the newer Ipséité flag is yet to be in use by major vendors.
The Flag: Martinique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇶 Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms.

Flag: Martinique was added to Emoji 1.0 in 2015.
","The flag for Martinique, which may show as the letters MQ on some platforms.
Most platforms display the historical snake flag of Martinique instead of the Flag For France, which is the official flag of Martinique. As of 2021, the newer Ipséité flag is yet to be in use by major vendors.
The Flag: Martinique emoji is a flag sequence combining 🇲 Regional Indicator Symbol Letter M and 🇶 Regional Indicator Symbol Letter Q.
These display as a single emoji on supported platforms.",Flag: Martinique was added to Emoji 1.0 in 2015.,"A vertical tricolor of blue, white and red, colors of the French national flag, is an emoji for Flag of Martinique.",,[]
✔️,\u2714\ufe0f,âï¸,check_mark,Check Mark,heavy_check_mark,Heavy Check Mark,"['Check', 'Tick']","[':heavy_check_mark:\n(Github, Slack)\n', ':check_mark:\n(Emojipedia)\n']","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.
Previously shown in red on Samsung and green on Google. Note: this emoji is not supported in Twitter names, to minimize confusion with a verified checkmark.
See also: ✅ Check Mark Button, ☑️ Check Box with Check.

Check Mark was approved as part of Unicode 1.1 in 1993
under the name “Heavy Check Mark”
and added to Emoji 1.0 in 2015.
","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.
Previously shown in red on Samsung and green on Google. Note: this emoji is not supported in Twitter names, to minimize confusion with a verified checkmark.
See also: ✅ Check Mark Button, ☑️ Check Box with Check.","Check Mark was approved as part of Unicode 1.1 in 1993
under the name “Heavy Check Mark”
and added to Emoji 1.0 in 2015.","The emoji of a bolded black check mark is an emoji similar in meaning with the other check marks - it could mean a successfully completed task, an “all is well” symbol, a positive reinforcement or an indication of passing something successfully. Heavy Check Mark Emoji usually has a positive connotation and could also be used to indicate something has been “green-lit” or approved.
The Heavy Check Mark Emoji appeared in 1993, and also known as the Check Sign. Sometimes it is mentioned as the Blue Check Mark Emoji.","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.","['✅', '☑️']"
✔️,\u2714\ufe0f,âï¸,check_mark,Check Mark,heavy_check_mark,Heavy Check Mark,"['Check', 'Tick']","[':heavy_check_mark:\n(Github, Slack)\n', ':check_mark:\n(Emojipedia)\n']","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.
Previously shown in red on Samsung and green on Google. Note: this emoji is not supported in Twitter names, to minimize confusion with a verified checkmark.
See also: ✅ Check Mark Button, ☑️ Check Box with Check.

Check Mark was approved as part of Unicode 1.1 in 1993
under the name “Heavy Check Mark”
and added to Emoji 1.0 in 2015.
","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.
Previously shown in red on Samsung and green on Google. Note: this emoji is not supported in Twitter names, to minimize confusion with a verified checkmark.
See also: ✅ Check Mark Button, ☑️ Check Box with Check.","Check Mark was approved as part of Unicode 1.1 in 1993
under the name “Heavy Check Mark”
and added to Emoji 1.0 in 2015.","The emoji of a bolded black check mark is an emoji similar in meaning with the other check marks - it could mean a successfully completed task, an “all is well” symbol, a positive reinforcement or an indication of passing something successfully. Heavy Check Mark Emoji usually has a positive connotation and could also be used to indicate something has been “green-lit” or approved.
The Heavy Check Mark Emoji appeared in 1993, and also known as the Check Sign. Sometimes it is mentioned as the Blue Check Mark Emoji.","A thick check mark / tick displayed on some platforms in a handwritten style. Generally displayed in black, except on Windows where it is displayed in green. Commonly used in lists to signify completed tasks or verification of a statement of fact.","['✅', '☑️']"
📑,\U0001f4d1,ð,bookmark_tabs,Bookmark Tabs,bookmark_tabs,Bookmark Tabs,[],"[':bookmark_tabs:\n(Github, Slack, Emojipedia)\n']","Sheets of white, printed paper with variously colored tabs to bookmark important sections or indicate signature lines. Commonly used for content concerning various types of documents and writing.
The number of pages and tabs vary, with Microsoft and Twitter’s designs featuring one page with a single, purple-colored tab. Facebook’s is printed with NDA, or nondisclosure agreement. Most platforms indicate text with dark lines. Apple’s design features an easter egg, addressed Dear Katie and signed Take care from John Appleseed with the text of its 1997–2002 Crazy Ones/Think Different ad campaign:
Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They’re not fond of rules. You can quote them, disagree with them, glorify or vilify them. About the only thing you can’t do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the ones who are crazy enough to think that they can change the world, are the ones who do.
Early designs from au by KDDI resemble 📃 Page With Curl.
Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.

Bookmark Tabs was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","Sheets of white, printed paper with variously colored tabs to bookmark important sections or indicate signature lines. Commonly used for content concerning various types of documents and writing.
The number of pages and tabs vary, with Microsoft and Twitter’s designs featuring one page with a single, purple-colored tab. Facebook’s is printed with NDA, or nondisclosure agreement. Most platforms indicate text with dark lines. Apple’s design features an easter egg, addressed Dear Katie and signed Take care from John Appleseed with the text of its 1997–2002 Crazy Ones/Think Different ad campaign:
Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They’re not fond of rules. You can quote them, disagree with them, glorify or vilify them. About the only thing you can’t do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the ones who are crazy enough to think that they can change the world, are the ones who do.
Early designs from au by KDDI resemble 📃 Page With Curl.
Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.","Bookmark Tabs was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","The image of one or several bookmarks stuck to the pages of a book or document is the emoji symbol for bookmark tabs. They usually refer to the ones used on webpages. Bookmark Tabs Emoji can mean ""I need to bookmark this site!"", but also to the original sense of the image ""I bought a beautiful bookmark to use with all my books!"".","Sheets of white, printed paper with variously colored tabs to bookmark important sections or indicate signature lines. Commonly used for content concerning various types of documents and writing.
Not to be confused with 📄 Page Facing Up or other emojis featuring sheets of paper.","['📄', '📃']"
🦛,\U0001f99b,ð¦,hippopotamus,Hippopotamus,hippopotamus,Hippopotamus,['Hippo'],"[':hippopotamus:\n(Github, Slack, Emojipedia)\n']","A hippopotamus, a squat water mammal with huge jaws. Generally depicted in gray or tan in full profile facing left.
Google’s design used to feature a purple, cartoon-styled hippopotamus face. Facebook’s hippopotamus is opening massive jaws, revealing tusks.

Hippopotamus was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.
","A hippopotamus, a squat water mammal with huge jaws. Generally depicted in gray or tan in full profile facing left.
Google’s design used to feature a purple, cartoon-styled hippopotamus face. Facebook’s hippopotamus is opening massive jaws, revealing tusks.","Hippopotamus was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018.","The Hippopotamus Emoji was added to the Animals & Nature category in 2018 as part of Unicode 11.0 standard. This is a very new emoji, so most likely it will not be displayed on most devices.",,[]
🌳,\U0001f333,ð³,deciduous_tree,Deciduous Tree,deciduous_tree,Deciduous Tree,['Rounded Tree'],"[':deciduous_tree:\n(Github, Slack, Emojipedia)\n']","A deciduous tree, whose leaves change color before shedding, as 🍂 Fallen Leave, in the fall/autumn. Depicted as a generic tree with a round, lush, leafy top and brown trunk.
May be used to represent various types of trees, forests, temperate climates, nature, and the seasons of spring and summer.

Deciduous Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","A deciduous tree, whose leaves change color before shedding, as 🍂 Fallen Leave, in the fall/autumn. Depicted as a generic tree with a round, lush, leafy top and brown trunk.
May be used to represent various types of trees, forests, temperate climates, nature, and the seasons of spring and summer.","Deciduous Tree was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","The image of a tree that has leaves turn orange or brown and fall off during the season of fall, also known as the rounded tree, is the emoji symbol for a deciduous tree. It is often used to express the outdoors, a forest or a park. Deciduous Tree Emoji can mean ""Our summer house is in the forest."" or ""I want to plant more trees in the garden!"".",,['🍂']
🍭,\U0001f36d,ð­,lollipop,Lollipop,lollipop,Lollipop,"['Lollypop', 'Sucker']","[':lollipop:\n(Github, Slack, Emojipedia)\n']","A colorful lollipop made of swirled hard candy attached to a stick. Colors vary by platform, though most designs show rainbow colors or pinks and reds.
Samsung, Microsoft, and Facebook all used to have pink and red designs, but have since opted for rainbow colors. 

Lollipop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","A colorful lollipop made of swirled hard candy attached to a stick. Colors vary by platform, though most designs show rainbow colors or pinks and reds.
Samsung, Microsoft, and Facebook all used to have pink and red designs, but have since opted for rainbow colors. ","Lollipop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.","It depicts a swirling, round lollipop. Lollipop Emoji means candy, treats, and has strong connotations to childhood and innocence. This emoji could be used to indicate the desire for candy, or in regards to a child.",,[]
